GENE,logFC,PValue,FDR
Rbks,-1.33082995928562,8.86782395746026e-8,1.93719826720848e-5
Aldh4a1,1.52095279967485,8.91108562694449e-8,1.93719826720848e-5
Adamts3,-2.27998258501696,8.9862155850097e-8,1.93719826720848e-5
Aqp11,-2.41087163836123,8.995175140822e-8,1.93719826720848e-5
Tshz1,-1.1075454304303,9.05199528810761e-8,1.93719826720848e-5
Cpsf2,-1.08514545008669,9.32851477745842e-8,1.98060282330208e-5
Mycbp,-1.13264684198308,9.40055793833357e-8,1.98060282330208e-5
Cpt1c,2.4847733801516,9.55937308376968e-8,1.98333917604088e-5
Pacs1,-1.29291333122677,9.55949196296242e-8,1.98333917604088e-5
Mrpl18,-1.11879604540927,1.00548627878873e-7,2.07031148266658e-5
Guf1,-1.27511550349369,1.01903432064206e-7,2.08243111283689e-5
Apaf1,1.07522589371792,1.03486694386682e-7,2.09900363189225e-5
Iqgap2,-1.24938148626548,1.06379818637282e-7,2.14170154869828e-5
Prkaca,-0.993697148243534,1.09295087909381e-7,2.18421411344785e-5
Psmc6,-0.913255257935524,1.11025360728474e-7,2.20259728411621e-5
Casp6,-1.132195497021,1.12341390872643e-7,2.2125555525562e-5
Mettl9,-0.801839045958284,1.15835832776762e-7,2.26496553887742e-5
Rida,-1.1384214416782,1.1954727504772e-7,2.31440725451212e-5
Grsf1,-0.990571086884524,1.20067486988561e-7,2.31440725451212e-5
Dnaaf2,-1.52405465639164,1.22913727054415e-7,2.35258604761404e-5
Atp7b,-2.68123983093841,1.23800148384275e-7,2.35298198107427e-5
Ubxn2b,-2.00848155472399,1.27533566222445e-7,2.40053733570192e-5
Tango2,-1.4504295608878,1.28068697772831e-7,2.40053733570192e-5
Usf3,-1.10633466503594,1.30157830432116e-7,2.42298607761266e-5
Dnajc6,-2.11217599415306,1.32148270774955e-7,2.43824555122373e-5
Tlk1,-0.911322427263523,1.32771750830094e-7,2.43824555122373e-5
Dap,-1.02975135656112,1.34054316130194e-7,2.4452766832903e-5
Fam20b,-0.987467164300787,1.36440985133021e-7,2.47178373908973e-5
L2hgdh,-1.38052272917141,1.37326371317027e-7,2.47178373908973e-5
Dnah2,2.02864664384897,1.4194809119314e-7,2.53816261219628e-5
Cdc123,-0.862149497494998,1.43365052211026e-7,2.54637020006805e-5
Cd83,2.34715572595746,1.44280882597034e-7,2.54637020006805e-5
Phf5a,-1.19887184102448,1.45661147106159e-7,2.5541447207731e-5
Atp13a3,-1.32193947959315,1.49463357404891e-7,2.60307351066804e-5
Ikbke,1.79375177293266,1.50367026445006e-7,2.60307351066804e-5
Stxbp5,-1.06461980986805,1.54250369913802e-7,2.6533992429666e-5
Phf14,-1.01514800295543,1.60732868849086e-7,2.74752115877315e-5
Iars2,-0.978989637470637,1.61947280097355e-7,2.75097820360375e-5
Rmdn3,-1.22273897015802,1.63585277513817e-7,2.76154301711057e-5
Strbp,-1.20241464327978,1.64836655220018e-7,2.76192286932589e-5
Rangrf,-1.76587069251287,1.65640173553155e-7,2.76192286932589e-5
Cdk5r1,2.33739276208999,1.6706509954238e-7,2.76869654906241e-5
Vdac2,-0.928112646796972,1.79563681713273e-7,2.95779473047578e-5
Gm9949,2.23921948356469,1.80745266285402e-7,2.95932264600659e-5
Casp9,-1.04270183090947,1.82957251108177e-7,2.97760187297554e-5
Nphp1,-1.45749573774786,1.9328336385354e-7,3.10892641978108e-5
Inpp5b,-0.959967559612831,1.9331416348762e-7,3.10892641978108e-5
Tsen54,1.38605219792836,1.98765319862109e-7,3.17778978148956e-5
Fars2,-0.883812278705371,2.00897751256084e-7,3.19309940432111e-5
Gmps,-1.12081831131506,2.11863119100904e-7,3.34780681049039e-5
Ptpn7,-1.43764826945912,2.13461510767487e-7,3.35356670586678e-5
Spn,-1.47457510703862,2.212221584839e-7,3.45551554335283e-5
Nasp,-1.43368003771046,2.28501379644345e-7,3.54882228420209e-5
Xylb,-1.801807054848,2.36079213508421e-7,3.64568008178715e-5
Psma1,-0.797182291048389,2.51806793919192e-7,3.8665857920507e-5
Josd1,-0.986287990259276,2.56962574067146e-7,3.92358752841065e-5
Zfp609,-1.25510465589993,2.68865657186831e-7,4.08092954355484e-5
A930001C03Rik,7.15615862816189,2.70770900704587e-7,4.08092954355484e-5
Focad,-1.30411087492892,2.71771679378721e-7,4.08092954355484e-5
Swap70,1.63712725171477,2.81816457593976e-7,4.20769391100387e-5
Pfkm,-2.36496274734653,2.83310490247517e-7,4.20769391100387e-5
Rfc1,-1.16503220162655,2.84858044675931e-7,4.20769391100387e-5
Tstd3,-1.23810351872891,2.88483929899395e-7,4.23821877337062e-5
Alg10b,-1.07323807002992,2.99769735653803e-7,4.38034497061005e-5
Tamm41,-1.24312453588728,3.05498062303218e-7,4.44017745205303e-5
Zadh2,-1.06215239946897,3.18304196750959e-7,4.60169668270975e-5
Pold3,-1.34597971510239,3.29095092332008e-7,4.73252672724426e-5
Fcer2a,2.71780564080423,3.3312058121408e-7,4.76520225095656e-5
Slc31a1,-0.943445923975525,3.39611556581186e-7,4.81095400439101e-5
Thra,-1.54257044800221,3.39859144502401e-7,4.81095400439101e-5
Gatc,-0.96601872569716,3.47487404294962e-7,4.88805497343734e-5
Eif2b1,-1.08084721920917,3.50393221359543e-7,4.88805497343734e-5
Gcdh,1.0268433694072,3.5100976665645103e-07,4.88805497343734e-5
Slc35e2,-1.25423234576582,3.53168753620582e-7,4.88805497343734e-5
Paics,-1.17001730336385,3.54298108748356e-7,4.88805497343734e-5
Phka2,-1.1090652089856,3.6156404765765e-7,4.96310568246832e-5
2610002M06Rik,-0.968652185952814,3.67715404837527e-7,5.02217939099455e-5
Prkaa1,-1.10402435528942,3.70820175322294e-7,5.03926077254231e-5
Vrk1,-1.05560586216982,3.74655608436285e-7,5.06605213019392e-5
Usp33,-0.878140752640261,3.78445350822457e-7,5.08990912813023e-5
Dtwd2,-1.28832443653763,3.81174989120481e-7,5.08990912813023e-5
Scmh1,-0.966605089259569,3.82038140527086e-7,5.08990912813023e-5
Tm9sf1,-0.781042804192341,3.83916466228081e-7,5.0899832368844e-5
Sod1,-0.828036369988676,3.87004289243232e-7,5.10601435793292e-5
Helq,-1.44280139162541,3.98095629209561e-7,5.22697637984863e-5
Celf5,4.42515686080886,4.00718323513151e-7,5.23611697825189e-5
Eif2b4,-1.04575698602842,4.05165406417533e-7,5.26889501484313e-5
Msrb2,-1.37599017170127,4.12579957250688e-7,5.31094081107663e-5
Rpa3,-1.5190751602372,4.13835154995264e-7,5.31094081107663e-5
Amz2,-1.04863664260416,4.14260808693567e-7,5.31094081107663e-5
Tmem69,-1.11451124210137,4.16847479979762e-7,5.31901298515022e-5
Rfc3,-1.53680675534724,4.19892191137585e-7,5.33282703875159e-5
Adcy7,-1.35609137067447,4.23322188290263e-7,5.35138314211212e-5
Cep78,-1.41290186340682,4.25698194979668e-7,5.35650520432982e-5
Apool,-1.00153263498264,4.27761180654555e-7,5.3576595064563e-5
Ak3,-0.983843741441547,4.30183334144679e-7,5.36328111867809e-5
Shmt1,1.61334564502888,4.48313544686066e-7,5.56379626987333e-5
Gnptab,-1.07986863030757,4.55201499047919e-7,5.61622949320561e-5
Bag2,-1.60772157972783,4.56671223370411e-7,5.61622949320561e-5
Tceal9,-0.878094635230585,4.59637294195752e-7,5.62724415267853e-5
Vps35,-0.89979957350328,4.66053882524669e-7,5.68021456194528e-5
Ganc,-0.977196797827568,4.69177453887781e-7,5.69275625857858e-5
E2f6,-1.04568094309019,4.72169659220162e-7,5.69437526333965e-5
Cinp,-1.14748830295381,4.74581976433376e-7,5.69437526333965e-5
Orc2,-1.32119757581527,4.75596300370912e-7,5.69437526333965e-5
Slc2a9,1.59459706714761,4.80871255187424e-7,5.73228063365745e-5
Asf1a,-1.14694652962392,4.85985809839604e-7,5.76795123389982e-5
Ap1b1,-1.1487755349074,4.96228017581827e-7,5.84600751043033e-5
Mrpl35,-0.943073953358027,4.96864393432211e-7,5.84600751043033e-5
Atp5g3,-0.822548634959589,5.06922437789874e-7,5.93864005891853e-5
Tmem8,-1.72431195135672,5.13147767617493e-7,5.98576960346603e-5
Nae1,-0.982849316790546,5.18935065924327e-7,6.02740861399884e-5
Bach2,-1.94129882427575,5.37187378072559e-7,6.2128577653762e-5
Morn2,-1.52340510518607,5.50569601423258e-7,6.34064881232319e-5
Ankrd26,-1.58074245213147,5.55974844458088e-7,6.3665220930266e-5
Tlcd2,-1.48350523325319,5.57501106788451e-7,6.3665220930266e-5
Mrpl1,-0.937051761542494,5.6358475115202605e-07,6.40906692533929e-5
Snx20,1.63780859351977,5.70234478512688e-7,6.45766787145681e-5
Lyst,2.00478143187126,5.72980830016732e-7,6.46184480457458e-5
Gnpat,-0.976008718905075,5.77698037792567e-7,6.48812188808437e-5
Seh1l,-0.820558414729994,5.89629479733631e-7,6.58015797008553e-5
Cdk20,-1.49126720218653,5.91839713019558e-7,6.58015797008553e-5
Rcor1,-1.21546897481782,5.93156003779004e-7,6.58015797008553e-5
Cpped1,1.0184217022111,6.08797774173057e-7,6.72622548953233e-5
Zdhhc6,-0.924742326330654,6.14557239105703e-7,6.74218228211759e-5
Tarsl2,-1.57673219976486,6.16436426311449e-7,6.74218228211759e-5
Pih1d2,-2.0616044493843,6.17684016427124e-7,6.74218228211759e-5
Sos2,-0.915704802368113,6.24227539965657e-7,6.77497731184216e-5
Esd,-0.852156009392326,6.25673978171523e-7,6.77497731184216e-5
Nfkbie,1.39398416283764,6.37237878322971e-7,6.87281281545239e-5
Kpna3,-1.09558937845736,6.41359128342185e-7,6.87303471699939e-5
Tpk1,-0.923061321652286,6.47733676425428e-7,6.87303471699939e-5
2610507I01Rik,-1.27060160518929,6.49269023528579e-7,6.87303471699939e-5
Mdn1,1.85617135020511,6.49795051104113e-7,6.87303471699939e-5
Alkbh8,-1.23692556557302,6.49902469652615e-7,6.87303471699939e-5
Hat1,-1.21730781433035,6.54504820740865e-7,6.89487849725425e-5
Rnaseh2a,-1.08049119824628,6.57651627120134e-7,6.89693577125462e-5
Elp4,-1.1500389957777,6.59775304656611e-7,6.89693577125462e-5
Gpat3,-2.01530084553229,6.66839692384649e-7,6.94407509552582e-5
Lrrc40,-0.942284252134913,6.7895894202976e-7,7.04329201733849e-5
Tmem5,1.59639298970468,6.88475685602748e-7,7.10940912957257e-5
Nbn,-1.02102306722145,6.91049799578015e-7,7.10940912957257e-5
Ccdc6,-1.09750697528646,6.95323088023913e-7,7.10940912957257e-5
Hacd3,-1.13353294380724,6.96114421612037e-7,7.10940912957257e-5
Exosc8,-1.04006808691274,6.98411360828536e-7,7.10940912957257e-5
Ide,-1.40401750377603,7.30586985610788e-7,7.40918794101328e-5
Zfp410,-0.948898285639734,7.44462259805646e-7,7.48448776079109e-5
Nup85,-1.21571959425308,7.45331522375631e-7,7.48448776079109e-5
Add3,-1.32780875310911,7.46273293047715e-7,7.48448776079109e-5
Dhfr,-1.7399242086688,7.49652801637105e-7,7.49074025577017e-5
Cox20,-0.980945809611765,7.77894445574083e-7,7.74446635027766e-5
Rab35,-0.760081052805615,7.93599498700367e-7,7.87198568437127e-5
Shc1,-0.843476659216128,8.07896186427035e-7,7.98465834578196e-5
